,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,0.0,0.5,0.5781255072998736,0.4983498823984774,0.7670940170340903
1,1,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
2,2,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
3,3,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
4,4,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
5,5,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
6,6,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
7,7,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
8,8,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
9,9,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
10,10,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
11,11,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
12,12,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
13,13,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
14,14,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
15,15,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
16,16,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
17,17,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
18,18,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
19,19,0.0,0.5,0.6666666621874997,0.49999999998047245,0.9999999999218826
